col1,index,degree,popt0,popt1,popt2,popt3,popt4,popt5,popt6,popt7,popt8,popt9,popt10,popt11,popt12,popt13,popt14,popt15,popt16,popt17,popt18,popt19,popt20,popt21,popt22,popt23,popt24,popt25,popt26,popt27,popt28,popt29,popt30,popt31,popt32,popt33,popt34,popt35,popt36,popt37,popt38,popt39,popt40,popt41,popt42,popt43,popt44,popt45,popt46,popt47,popt48,popt49,popt50,popt51,popt52,popt53,popt54,popt55,popt56,popt57,popt58,popt59,popt60,popt61,popt62,popt63,popt64,popt65,popt66,popt67,popt68,popt69,popt70,popt71,popt72,popt73,popt74,popt75,popt76,popt77,popt78,popt79,popt80,templatebin,bin_threshold_lo,bin_threshold_hi,filter,n_rrls_in_bin,n_phasepoints_in_bin,npixels_x,npixels_y,n_bins_to_average_for_density,overall_sigma,pulsation_type
0,0,11,0.5076410228172038,7.930456718776625,-0.0877241021620198,4.8006228984735335,0.03890364647285311,14.124068057817073,0.02970108348265618,14.408819613801684,-0.02016945198474569,11.026289114800548,0.013415603348623932,1.128482578030236,0.007683409668890519,0.6369456528920436,0.004652451095246312,-0.04444249643257164,0.0030512534745189275,-0.7244462062706913,-0.0022553556161428526,-23.453382300436314,-0.001712031661130201,0.74315489510796,0.03249322749085326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23,0.31,2,1065,353886,200,300,10,2.1096334173223153E-4,1
1,1,9,0.5093184248258106,7.877091354067025,0.0629324981298619,1.6243521439570532,-0.03424280227858952,-1.3051567288679287,-0.017006826839331725,-0.9823733972165307,-0.009940100148310014,-1.0794226216689156,-0.006305158399937247,-1.2519604265387065,0.0037537173251028354,1.534595411310483,0.002056120661377228,1.3381506759315591,0.0012459036473688062,0.8222356049627866,0.030107007585631798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.31,0.39,2,1966,705748,200,300,10,9.496709575078674E-5,1
2,2,10,0.5061069362664481,7.888228738479655,0.07575666594108464,14.195351106603672,-0.03953690553624084,-1.5560018680341117,-0.013914311943701494,-0.8322922390347584,-0.007361373434908472,-0.7142683982535619,-0.007630726833010746,-0.4040746848394435,-0.006375283770720783,-0.3339889395618882,-0.0036093866755656017,-0.12126383989021085,-0.004458577012311942,-0.8434370702570889,-0.003154836888071267,-1.3701223441528456,0.03348628982926923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.39,0.43,2,29,11401,100,150,10,8.309031418540995E-4,1
3,3,10,0.5016638492204702,7.892312696926543,0.08808580972445668,7.900332643431813,-0.03945915449642881,-1.5969877185919634,-0.025911042967832015,-1.329660599486377,0.01810362708008654,14.215137347174506,0.012093663764227824,1.1838706862537447,0.006845383307979909,0.7109001616772255,0.00350311280380104,0.27566469767662727,0.0021555739739984687,-0.48665110078797424,-9.009442015811337E-4,7.7820058544267,0.02165025146791871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23,0.31,3,884,510279,200,300,10,2.063076169346939E-4,1
4,4,9,0.5034560758810454,1.56761224782445,0.06691744263896743,1.642449675097709,-0.03554074582280904,-1.2898029430814797,-0.01767858987262674,-1.053538244866504,-0.010202803725910007,-1.0591507254800008,0.006577775678606924,-4.408925596460329,-0.0037201190318303166,-1.4600124241703032,0.002068554604922785,1.3840860589014654,0.0010242248955825257,1.329359115263348,0.0209345477896113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.31,0.39,3,1598,918102,200,300,10,1.7449101079469384E-4,1
5,5,8,0.4912547362343432,1.5992518034091816,0.07180267475296857,1.6390881699054183,-0.038984860445892854,-1.3667418813813466,-0.014174735948720563,-1.1682245500364872,-0.0075340361551967565,-1.0144016943796899,-0.005666251284444271,-1.067129752701372,-0.001999874476987286,-0.5353880271552769,0.0012110959324623373,-0.1471599924632895,0.017901067616792235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.39,0.43,3,28,16408,100,150,10,0.0017113160517233433,1
6,6,11,0.4893621220390426,7.879473416254728,0.09177651686222936,7.933063901127567,-0.037356920461098043,4.631231448826745,0.021221521382237606,-4.41112489229904,-0.016423848829504227,11.085343286806918,0.010366361116804081,1.2860934400383974,0.0064954971496325,0.7580665465121313,0.004769483765974023,0.2685956269096344,0.0033905324652938537,-0.6810591052914658,0.002469312129709196,0.5278581023377505,9.693417236759714E-4,0.1371401547796007,0.016226223607388884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23,0.31,4,97,16553,100,100,10,6.13615117761806E-4,1
7,7,9,0.4966202395365445,7.827181564392027,0.07627035517625397,1.641327524240944,0.03400535255281116,1.8021481038938965,-0.01999130811521267,-1.212426746109239,-0.010326131781234116,-0.9667069288453172,-0.007007856348714094,-1.2248171396977585,-0.004922358678063155,-1.2412669046837952,0.003490844206215393,1.3687334416612416,0.0037607413287723407,0.9321396483860138,0.015717604158361403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.31,0.39,4,150,21592,100,100,10,9.184785996436744E-4,1
8,8,5,0.5002551350258534,1.5005591211347364,0.06804540403047789,1.7357311694764128,-0.03513840265639746,-1.268915989382758,-0.00909584163957309,-1.2502513397633612,-0.009214274354641528,0.7469540802021066,0.017769631064595535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.39,0.43,4,5,755,100,150,10,0.0031191847827600648,1
0,9,15,-0.33889874064829695,-1.1482088422468086,0.18211191216067604,7.856779160274644,-0.1186854537447218,4.670089018134552,0.07392208922331622,1.4132450537897792,0.05045100839559548,1.3897422590503745,0.033820214239587365,1.2875597570458357,0.02472014188546237,1.1160532542852748,0.018647520885449426,1.0441090828464494,0.015884349044662054,0.9852617877634671,0.011561539572581018,0.9153935890056375,0.008861682700588056,0.7185434255839155,0.004985699815716738,0.4592008142813484,0.0036050545096848003,0.5633600107934658,0.003533864671596145,0.3913236805292808,0.0027383789663713554,0.07316914946826515,0.06160184665495139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35,0.41,2,52,15374,200,300,10,6.436029648942136E-4,0
1,10,24,-0.3546198262406997,-1.0876872785364764,0.16248182931958513,7.86250855285504,-0.12057269169662249,4.574925773722838,-0.07645990823582667,4.528062040402266,0.05492506005265622,1.2916690873543053,0.03965730254135416,1.2617991704399787,0.02588913808593758,1.2114764799462612,0.017451325365263573,1.0628079849094108,0.013087153764182142,0.8366168164582034,0.010296904341792,0.7146161724091873,0.008057150363586523,0.6439300496443007,0.0053787915616045345,0.6542561603919759,0.003641252169812568,0.5993174429615715,0.002237741803186305,0.417506377661024,0.0018276989983118943,0.2301372608497146,0.0010580673747436762,-0.26315354063428525,5.063667136890028E-4,-0.33005101849461954,7.678560503984709E-4,-7.658973055543664,-5.52157562846261E-4,1.0882217920515138,-7.904501403039889E-4,0.388202155904229,-0.0010010178087945685,0.35349280410161255,-0.0013367981275839984,-0.18050191212289904,-0.0011989003320213123,-0.41151399215338547,-9.399772742259252E-4,-0.3546573605439951,0.06693138739687333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.41,0.47,2,775,240306,300,500,8,2.5306826203854766E-4,0
2,11,13,-0.35197292757483434,-1.1050589758748055,0.1609627321366551,1.5699171058031267,0.12033886897720932,1.4362862389822706,0.07736238407359979,1.3586038830659308,0.05517285552183322,1.2980565749547985,0.03751928239740274,1.265652905456081,0.023696907628399027,1.1799995302003765,0.016056941584335235,1.0025189022728913,0.011790299490245416,0.8488521743702987,0.008776668068170769,0.7851888669711292,0.006061452729996703,0.7431156311546214,0.003781703465572295,0.7411274058273978,0.0019968938370204374,0.6883046324976138,0.05871550819729894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.47,0.53,2,2307,745647,300,500,10,2.9363361847239473E-4,0
3,12,39,-0.35060210606572906,-1.1751659119752986,0.16751761105540397,1.5005581794417633,0.11922916447143413,1.405160019140207,0.07642789336619756,1.3379438553429377,0.0475866902607897,1.3295926588842917,0.026333662102202064,1.2228832466421908,0.015828728959442796,1.0239441577596784,0.010556384365930968,0.9402369178992754,0.006696238644759462,0.974237090505304,0.003391626021062732,1.219017310831691,-0.0015748689044863767,-1.2039614809047516,-0.0021276949909831712,-0.12281586642865937,-0.003228851416565894,0.08479893593980899,-0.0037010533374435143,0.05884936227731796,-0.004195790386107648,0.0352896280144134,-0.00429304614463782,-0.07802296946500295,-0.004691947197214236,-0.22764666619575108,-0.00533326799781857,-0.31453833767314815,-0.00495466304388062,-0.4485890020867483,-0.00471612608978559,-0.660607357754101,-0.004718704235465128,-0.7977130479770829,-0.004338655999305801,-0.9529380995621061,-0.0042494505059050185,-1.1538446893569048,-0.0035398307466618264,-1.1740752468789357,-0.0034826717850918415,-7.6870103012163735,-0.0033415777760232275,-1.4797881175664738,0.0029709681392744436,1.5260630000470394,0.0024909481279783087,1.2770771956657576,0.0024854217645727318,1.0567167476311718,0.0021799629567736166,0.9727137764574318,0.0019673317361237927,0.7187123686133464,0.0014453916668672236,0.36049168355265937,0.001153818339456011,0.30783093799164146,0.001204560905428304,0.30185550037102366,8.531725760724374E-4,0.07392306978489446,6.864126154780618E-4,-0.16816402711406508,1.698263701994833E-4,-0.30520796136457173,-2.758354326390085E-4,1.4408637437308678,-2.4198066747956726E-4,0.6414845133143459,0.04715731904310171,,,3,0.53,0.59,2,3541,1178347,500,500,8,1.7326001733759496E-4,0
4,13,29,0.3641063947593032,-4.390933320187436,-0.16968724793365203,4.576389152402567,0.11196286475962476,1.333406959548779,0.06407383924155698,1.3058528250878485,-0.031085307268700877,4.469253810442994,0.014741350739895215,1.3112207565603475,-0.008239956762224375,4.652649183257479,-0.006142663397219281,-7.515538514628812,-0.005772032890128468,-0.9184994465308302,-0.005359619783333682,-0.7299128121881294,-0.005740395588168187,-0.5557039394364427,-0.005872142287473002,-0.4663430192866433,-0.006722147755000724,-0.4468415707442505,-0.006860380488629492,-0.45791095691916034,-0.00707125149942144,-0.6990601174237361,-0.006560112118936446,-0.9549164641417803,-0.005595098710844868,-1.160677271524469,-0.0050383382017655035,-1.369959482944036,0.004509319972413011,1.6480605971576452,0.004026971526795502,1.5024835555752707,0.003711774964366501,1.3985626258023993,0.0036755291286307426,1.1536195897334143,0.0032031282982739194,0.7425527126610435,0.0021047664781139452,0.41226249520196145,0.001808976090011066,0.1559874584721706,0.0015837721332285276,-0.10522452932046736,7.131936415804936E-4,0.08150358475811623,8.674947704458968E-4,-0.06606377831976258,9.03455075593606E-4,-0.9559341080264057,0.04068509731536183,,,,,,,,,,,,,,,,,,,,,,,4,0.59,0.62,2,1973,680613,200,300,10,3.6122637025365177E-4,0
5,14,19,0.3819072113031533,-4.440904771191007,-0.16486709175579917,4.534624003527606,0.09888222938290532,1.2960986820283844,-0.04917972553768998,4.497010658979216,-0.022754102092196603,4.643830112498576,0.012723936314777808,1.65487014069932,-0.009155361599763217,-1.3245054770302607,-0.00762694173185807,-1.0517760561783873,-0.0066375912697646125,-1.0349107387278578,-0.005333791635133977,-0.9412114911366104,-0.005291531436937,-0.7437823197366805,-0.00549434727579548,-0.7706878209578197,-0.005473082239643638,-0.8250164136283148,-0.0053278001331665175,-1.0345328770594224,-0.004549093952191884,-1.159913756015112,-0.0035504424500530244,-1.209850215631698,-0.0029663875686989473,-1.2679545864217212,0.002326156264124224,1.6055960105216465,0.0020530239565574454,-10.939364621803652,0.03513864777703945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.62,0.65,2,1447,509742,200,300,10,2.701226657380523E-4,0
6,15,24,0.3696842035702324,-4.438002154653036,-0.17103729104170795,4.588657386093657,-0.10724090868066845,4.483064029662306,-0.05631433069206122,4.513673362729673,-0.027732217553993754,4.506938913926983,0.014627627151423373,1.3643146287728734,0.008924104529466358,1.592822363981632,-0.007196611508702747,-1.334272264011459,-0.005890079471835936,-1.0778013146203804,-0.005232337535347458,-0.8036286906945795,-0.0051459082486234094,-0.552434726365152,-0.005835836607250957,-0.4910643523848639,-0.0061835202816277295,-0.6650358578355808,-0.005915544076135033,-0.7666592488864339,-0.005221449575793096,-0.9116440909998852,-0.00485741380412614,-1.0499453100964242,-0.003979935155146086,-1.1516718819258827,-0.003820301917778964,-1.2360193949583944,0.003343853721515,1.6474077426599953,0.0029151923515442985,1.3332060056448634,0.0026570981939428853,1.0581199531968424,0.0022965153008247556,1.0047551111098976,0.0011410488903916037,0.7764508928159124,7.894871469005233E-4,0.35340503281684454,0.03823736591896253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.65,0.71,2,1140,361019,200,300,10,2.442561607374332E-4,0
7,16,15,0.38111392538988326,1.7913730855758465,0.17107829334135863,1.4099875059993225,0.10018790442918372,1.3276907490102363,0.045309068164469946,1.3965382568558022,0.020634674251968625,1.4844406088791862,-0.012021004693936042,-1.361150729237521,-0.009419538118272668,-1.07193531063918,-0.008686386656555111,-0.9022414775899434,-0.00831453807507831,-0.8546626960838442,-0.0075795526801716254,-0.8254245317350547,-0.007565173774348553,-0.8284020823437561,-0.006711389953957339,-0.913499624579147,-0.005822506616647595,-1.1044846581557517,0.005170103725314073,-4.445564663147356,0.004620635428397295,1.7200633415406812,0.03237745528735618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.71,0.77,2,415,142495,200,300,10,4.4789417119894934E-4,0
8,17,14,0.3987641674673887,1.7083932881273585,0.16905207390963337,1.3799091982062321,0.08747540983575364,1.3583551189809653,0.03196012248623499,1.5003645676451087,-0.016154527272345856,-1.3002239747228195,-0.012232588660605887,-0.9045569074667597,-0.010193047851354628,-0.7948499892226062,-0.011033818450035763,-0.6883604985261251,-0.008762190525425954,-0.7449186767068655,-0.008119903011322652,-0.9370971216936063,-0.007008054639220553,-0.9984990808029891,-0.007297163842360936,-0.9642398121708438,-0.006205105691025875,-1.392477080379418,0.00352525086138513,1.4619954888710742,0.028542465639746075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.77,0.83,2,108,35247,100,150,5,8.817977104819766E-4,0
